route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
613,1,613,"Archbishop O'Leary - Queen Elizabeth - Dunluce",,3,,005087,FFFFFF
614,1,614,"Archbishop O'Leary - Queen Elizabeth - Baturyn",,3,,005087,FFFFFF
616,1,616,"Mary Butterworth - Lago Lindo - Klarvatten",,3,,005087,FFFFFF
617,1,617,"Mary Butterworth - Eaux Claires",,3,,005087,FFFFFF
618,1,618,"Sir John Thompson - Rapperswill",,3,,005087,FFFFFF
620,1,620,"J.J. Bowlen - LaZerte - Londonderry - Clareview",,3,,005087,FFFFFF
621,1,621,"M.E. LaZerte - Londonderry - Crystallina Nera",,3,,005087,FFFFFF
622,1,622,"Stadium - Concordia University",,3,,005087,FFFFFF
623,1,623,"Coliseum - LaZerte - Londonderry",,3,,005087,FFFFFF
624,1,624,"O'Leary - Rapperswill",,3,,005087,FFFFFF
625,1,625,"O'Leary - Palisades",,3,,005087,FFFFFF
626,1,626,"O'Leary - Crystallina Nera",,3,,005087,FFFFFF
627,1,627,"Eastglen - Bannerman",,3,,005087,FFFFFF
630,1,630,"Ottewell - Austin O'Brien - Silver Berry",,3,,005087,FFFFFF
631,1,631,"Ottewell - Austin O'Brien - Maple",,3,,005087,FFFFFF
632,1,632,"O'Brien - Ottewell - Kenilworth - Mill Woods",,3,,005087,FFFFFF
633,1,633,"Austin O'Brien - Coliseum - Clareview",,3,,005087,FFFFFF
634,1,634,"McNally - Tamarack",,3,,005087,FFFFFF
635,1,635,"McNally - Silver Berry",,3,,005087,FFFFFF
636,1,636,"McNally - Davies",,3,,005087,FFFFFF
637,1,637,"Braemar - University",,3,,005087,FFFFFF
642,1,642,"Lakewood - Mill Woods",,3,,005087,FFFFFF
643,1,643,"TD Baker - Mill Woods",,3,,005087,FFFFFF
644,1,644,"Elder Dr. Whiskeyjack - Silverberry - Wild Rose",,3,,005087,FFFFFF
645,1,645,"Elder Dr. Whiskeyjack - Meadows",,3,,005087,FFFFFF
646,1,646,"Elder Dr. Whiskeyjack - Mill Woods",,3,,005087,FFFFFF
647,1,647,"Elder Dr. Whiskeyjack - Laurel",,3,,005087,FFFFFF
650,1,650,"Riverbend School - Leger",,3,,005087,FFFFFF
651,1,651,"Avalon - Southgate",,3,,005087,FFFFFF
652,1,652,"Strathcona - Southgate",,3,,005087,FFFFFF
653,1,653,"Strathcona - Davies",,3,,005087,FFFFFF
654,1,654,"Strathcona - Belgravia - Windsor Park",,3,,005087,FFFFFF
655,1,655,"Strathcona - South Campus",,3,,005087,FFFFFF
656,1,656,"Allendale - Strathcona",,3,,005087,FFFFFF
657,1,657,"Leger - Strathcona HS",,3,,005087,FFFFFF
658,1,658,"Fr. M. McCaffery - Rutherford",,3,,005087,FFFFFF
659,1,659,"Fr. M. McCaffery - MacEwan",,3,,005087,FFFFFF
660,1,660,"Century Park - Harry Ainlay",,3,,005087,FFFFFF
